epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9817,0.81499,1.04819,3.57734,1.02979,0.75782,0.72649,0.80404,0.651,0.77111,0.73619,0.81438,0.63014,0.54239,0.65047,2.93791,0.69709,0.000415396,0.000415396,0.000415396
2,172.291,0.91471,1.1253,1.54231,1.06301,0.69825,0.73551,0.7915,0.62484,0.69825,0.73551,0.7915,0.59717,0.53333,0.76637,2.25939,0.65942,0.000815588,0.000815588,0.000815588
3,250.485,0.97794,1.23511,1.65003,1.10078,0.59951,0.74053,0.76708,0.61316,0.59951,0.74053,0.76708,0.59834,0.52251,0.60589,1.81042,0.66932,0.00119928,0.00119928,0.00119928
4,328.28,0.96452,1.11955,1.41297,1.06026,0.78664,0.83909,0.88751,0.70455,0.78664,0.83909,0.88751,0.68722,0.62155,0.63307,1.97547,0.76198,0.00117575,0.00117575,0.00117575
5,406.262,0.98689,1.1419,1.40341,1.1042,0.79841,0.7197,0.86294,0.67138,0.79841,0.7197,0.86294,0.70971,0.58913,0.61262,2.75856,0.68787,0.001151,0.001151,0.001151
6,483.511,0.8961,1.05517,1.28414,1.05689,0.73953,0.8971,0.8814,0.7035,0.73953,0.8971,0.88008,0.68439,0.58865,0.72517,3.22058,0.71869,0.00112625,0.00112625,0.00112625
7,562.144,0.89208,1.06718,1.42124,1.04997,0.83025,0.86474,0.90335,0.72673,0.83025,0.86474,0.90335,0.72495,0.52525,0.61912,1.73498,0.67323,0.0011015,0.0011015,0.0011015
8,638.435,0.86066,0.98689,1.34645,1.00659,0.74221,0.86741,0.87946,0.69959,0.74221,0.86741,0.87971,0.69366,0.52206,0.54854,0.89574,0.67862,0.00107675,0.00107675,0.00107675
9,714.423,0.83906,0.97003,1.20302,1.00995,0.80026,0.89377,0.89791,0.73806,0.81043,0.90447,0.91131,0.7285,0.50409,0.57674,0.77246,0.66752,0.001052,0.001052,0.001052
10,790.823,0.84417,0.96908,1.23402,1.01976,0.81658,0.86237,0.89643,0.72954,0.81658,0.86237,0.89643,0.72726,0.54088,0.56831,1.55216,0.66833,0.00102725,0.00102725,0.00102725
11,866.77,0.83132,0.94904,1.19491,1.01689,0.81795,0.89874,0.91058,0.74075,0.81795,0.89874,0.91058,0.73671,0.57347,0.53096,1.70335,0.69711,0.0010025,0.0010025,0.0010025
12,943.042,0.82743,0.94558,1.14002,1.00795,0.83948,0.88817,0.91519,0.76341,0.83948,0.88817,0.91519,0.71395,0.51073,0.58576,1.27114,0.656,0.00097775,0.00097775,0.00097775
13,1019.47,0.84015,0.9625,1.0723,1.02397,0.82871,0.85795,0.89977,0.75659,0.82871,0.85795,0.89977,0.72531,0.5931,0.61367,1.11978,0.69885,0.000953,0.000953,0.000953
14,1095.73,0.8404,0.96445,1.09747,1.01559,0.85587,0.87305,0.91567,0.77073,0.85587,0.87305,0.91878,0.73629,0.48199,0.54191,0.97381,0.65019,0.00092825,0.00092825,0.00092825
15,1173.21,0.80877,0.88875,1.02391,1.01955,0.8602,0.87082,0.92554,0.76726,0.8602,0.87082,0.92554,0.73539,0.49743,0.54577,0.8694,0.64635,0.0009035,0.0009035,0.0009035
16,1250.96,0.7894,0.89907,1.04947,0.99429,0.85585,0.88573,0.91868,0.75979,0.85585,0.88573,0.91868,0.74205,0.51231,0.59269,2.30484,0.66178,0.00087875,0.00087875,0.00087875
17,1328.52,0.813,0.88725,1.05671,0.99643,0.79615,0.90584,0.92013,0.76621,0.79615,0.90584,0.92013,0.72933,0.48662,0.55369,1.21543,0.65646,0.000854,0.000854,0.000854
18,1406.23,0.8111,0.89558,1.05564,1.00472,0.81937,0.88068,0.90907,0.75058,0.81937,0.88068,0.90907,0.73941,0.49733,0.51137,1.14257,0.65073,0.00082925,0.00082925,0.00082925
19,1483.38,0.76911,0.90015,0.94972,0.98457,0.8229,0.89175,0.90683,0.74349,0.8229,0.89175,0.90683,0.7433,0.4933,0.5482,0.81518,0.6542,0.0008045,0.0008045,0.0008045
20,1559.38,0.7569,0.84483,0.97805,0.96386,0.80083,0.85974,0.91956,0.75646,0.80083,0.85974,0.91956,0.75238,0.48898,0.54422,0.85751,0.65817,0.00077975,0.00077975,0.00077975
21,1635.41,0.77267,0.90413,0.92364,0.99297,0.83564,0.87549,0.90714,0.751,0.83564,0.87549,0.90714,0.72455,0.4878,0.53872,1.09976,0.66443,0.000755,0.000755,0.000755
22,1711.72,0.74956,0.83705,0.93023,0.97796,0.8531,0.84245,0.93321,0.78712,0.8531,0.84245,0.93321,0.77694,0.48447,0.5041,0.99744,0.63994,0.00073025,0.00073025,0.00073025
23,1788.04,0.75044,0.82132,0.92838,0.97564,0.88825,0.85101,0.92722,0.76845,0.88825,0.85101,0.92722,0.76551,0.5189,0.52793,0.85183,0.67327,0.0007055,0.0007055,0.0007055
24,1864.62,0.72069,0.80289,0.94464,0.95121,0.84821,0.88788,0.92003,0.76358,0.84821,0.88788,0.92003,0.75075,0.46958,0.49971,1.23198,0.64464,0.00068075,0.00068075,0.00068075
25,1942.16,0.71439,0.76719,0.93161,0.96101,0.82986,0.88127,0.91502,0.76404,0.82986,0.88127,0.91502,0.74616,0.48572,0.49686,0.85777,0.65125,0.000656,0.000656,0.000656
26,2020.65,0.73369,0.80822,0.82408,0.96703,0.86697,0.87691,0.92694,0.76469,0.86697,0.87691,0.92694,0.7493,0.49254,0.49598,1.1734,0.65071,0.00063125,0.00063125,0.00063125
27,2099.01,0.7352,0.80841,0.92428,0.97619,0.84502,0.85101,0.92856,0.78046,0.84502,0.85101,0.92856,0.77901,0.46913,0.4668,1.06481,0.63551,0.0006065,0.0006065,0.0006065
28,2177.19,0.70827,0.79036,0.82966,0.95308,0.85403,0.8851,0.94214,0.79133,0.85403,0.8851,0.94214,0.781,0.47251,0.49591,0.76827,0.63865,0.00058175,0.00058175,0.00058175
29,2255.24,0.69362,0.7511,0.78888,0.94605,0.88938,0.87626,0.9418,0.78656,0.88938,0.87626,0.9418,0.76385,0.45404,0.49776,1.00422,0.64703,0.000557,0.000557,0.000557
30,2333.41,0.71352,0.7466,0.75932,0.96926,0.8306,0.89015,0.93658,0.79092,0.8306,0.89015,0.93658,0.7708,0.46364,0.47204,0.77431,0.64505,0.00053225,0.00053225,0.00053225
